"     hour
date",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
6/24/2022,0,0,0,0,0,0,0,0,0,1,5,9,6,2,4,6,14,8,6,9,7,2,7,2
6/25/2022,1,1,1,0,0,0,0,1,4,4,3,7,6,7,4,10,10,9,11,5,3,7,9,0
6/26/2022,2,0,0,0,0,0,0,3,5,3,3,9,9,2,0,0,0,0,0,0,0,1,0,1
6/27/2022,0,1,0,0,0,0,0,3,7,3,2,2,2,5,6,4,9,11,11,7,12,8,6,2
6/28/2022,0,1,1,0,0,0,0,0,8,4,5,8,8,11,5,7,9,4,9,9,6,8,6,4
6/29/2022,1,0,1,0,0,0,0,1,4,6,5,4,4,5,7,4,8,5,9,7,3,11,8,6
6/30/2022,2,1,0,0,0,0,0,1,6,9,4,2,2,8,4,8,10,6,9,9,6,7,5,0
7/1/2022,3,4,1,0,0,0,0,0,0,3,5,8,2,6,7,4,5,4,5,6,5,4,3,0
7/2/2022,1,1,0,0,0,1,1,0,1,2,3,7,1,2,5,8,8,6,8,4,4,9,7,3
7/3/2022,1,0,0,0,0,0,0,2,2,3,3,4,4,5,5,3,8,7,4,7,7,10,5,4
